domain,revealId,inscriptionId,commitId,payer,feeKas
stp-bulk-0028.kas,6816ffaeb864705350799ed6c5d45ab751437eccfb13790f2779c961abf5bc9c,6816ffaeb864705350799ed6c5d45ab751437eccfb13790f2779c961abf5bc9ci0,3628cb32d9f870c59aaae802a3fe2e9bebf2ae99e0552ef072770a059a49bf45,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0029.kas,9f9556718c9c89de87f48dd6b8964419c2b5aa68b32d3451e2d4ff2fc63912da,9f9556718c9c89de87f48dd6b8964419c2b5aa68b32d3451e2d4ff2fc63912dai0,6afc6c284067d133dfb43011b2c7bcb18820651fdc560e36f0b0ba078faadc5a,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0030.kas,6e5067bfce53f50e6ec11c23374496d4682f8325a178985cb288d2232557ac66,6e5067bfce53f50e6ec11c23374496d4682f8325a178985cb288d2232557ac66i0,9d9e943ea8353b38d9c53ef60840b12ac0f9172dd95fd4092388093a45acefb1,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0031.kas,e302f1d8cfbcba9d408110bb6e5ca2ae8898d82563b15c0184fa35a18c29b6b5,e302f1d8cfbcba9d408110bb6e5ca2ae8898d82563b15c0184fa35a18c29b6b5i0,92a0ca2e536af09f8d828986e93711dd24c6235a7fe036d91699930f1bfbe0a5,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0032.kas,c1d3b0317512fb15d4dbe77fe0b77561ff573334dd4dc8896146a2db96025fa7,c1d3b0317512fb15d4dbe77fe0b77561ff573334dd4dc8896146a2db96025fa7i0,596c6dd65d0a012ffcc60bddda27f168c3f4ff3a3c21adedddf9a55d113c490d,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0033.kas,82b23adf21a00eef364c5a9729b53ddcb91e2cd435b9f260c4086683f4918874,82b23adf21a00eef364c5a9729b53ddcb91e2cd435b9f260c4086683f4918874i0,7854f238180b9e056dc6b4e1ea73f64210b9a1547fcbab3d5cdbb4664c3e6bdd,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0034.kas,08fd950232f5dd5ddd434663b7847868f7e3d03933b52b0289d0c25fa01d04b1,08fd950232f5dd5ddd434663b7847868f7e3d03933b52b0289d0c25fa01d04b1i0,5a3d0eb5d9c92517644f810e1c3bb49706b79da75e42944d738a03c015cbda2a,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0035.kas,e07d798e20874b72e8f0bb6e6a1d698606a662374edb238aa08f956622912766,e07d798e20874b72e8f0bb6e6a1d698606a662374edb238aa08f956622912766i0,a9a185eebefe96492f91a1f90bd969ecb020e887f82c1e0b41fc8af610bc4d31,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0036.kas,d7207978f8444787df8f22784f013692deb3f9bca5002eb841ff0656227bca74,d7207978f8444787df8f22784f013692deb3f9bca5002eb841ff0656227bca74i0,465109101a59d34ba002cdad32aebe29b4c651b0c295bd5b692b7cc1f6c30512,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0037.kas,e6bb5638ba751440e65662302df7be5da2457b7451bb64123c1cfc1e2e113699,e6bb5638ba751440e65662302df7be5da2457b7451bb64123c1cfc1e2e113699i0,7e95fda5a478d47a95dc85de36bf14d460f434c92b0f38907d60946048adfcb6,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0038.kas,29c427fb6ebab57475a0482cccd1d4248ecb28e8baf6c59b06c38f5166aa574e,29c427fb6ebab57475a0482cccd1d4248ecb28e8baf6c59b06c38f5166aa574ei0,d56edeca15d017ed9bb832194dc99ac8fef8e2e148699b494d3801b1c5fc79f9,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0039.kas,fcd69b9432f26ccd01c3e13336fe43db5099df71287291b852b08f8fdfc18578,fcd69b9432f26ccd01c3e13336fe43db5099df71287291b852b08f8fdfc18578i0,947ca80f4eb82b262703f57e18dbd75023dd0faa58aea1298ddde2f1abefbff1,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0040.kas,aeef2dcb31640a7e8ed4fe3d1a6e4e744551dcec108a4a190cb77ce83a6aa6a8,aeef2dcb31640a7e8ed4fe3d1a6e4e744551dcec108a4a190cb77ce83a6aa6a8i0,d37f78f6f6215d170a1d6e7a940c3741937f87ba2443c2241f4f8bc5f918023d,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0041.kas,c93162c3ff88c8c702f17a0b14e8500934164d0ebde26873298b6a07dd81abcc,c93162c3ff88c8c702f17a0b14e8500934164d0ebde26873298b6a07dd81abcci0,2a5d5828abb66a81af756dea637d7717c860380832052d5c69410e70af7e59c7,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0042.kas,da9f03f35525609a41b7d6dfd56f8a11a20323d46c7a4e915203a72d237e0398,da9f03f35525609a41b7d6dfd56f8a11a20323d46c7a4e915203a72d237e0398i0,870eb2c9c7388a36959ce2785aa682a30650e6c64990096a4b76158aa8ceed56,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0043.kas,12c6716996e99b14585d1b4dd473e12d4834e38db017034817000837bef82e43,12c6716996e99b14585d1b4dd473e12d4834e38db017034817000837bef82e43i0,4c6d4607a9b8dfde07f28e79b2aa9c3cbf0e98b0a115f2d6e6b17d57ac504167,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0044.kas,41007f41956e157ca2cb545a348a1c0e7ce3d2c0484c45e708aaed68e7e09901,41007f41956e157ca2cb545a348a1c0e7ce3d2c0484c45e708aaed68e7e09901i0,d93dc18b27781da58c7f8b2420a86ade0c1b125a2500fbacf70c0bfcd7867b15,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0045.kas,ccd70e18b37fdee5928ac9881599b8c7056ce5742ca0f90067ae90e16a21192e,ccd70e18b37fdee5928ac9881599b8c7056ce5742ca0f90067ae90e16a21192ei0,66947d86afdaacde8d663f761ec37e5e79eea301f2807eaf9495df67d6f0a801,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0046.kas,034d0dee12ff1d8c5dbdc489acff731bc588caae02cc7239ba88f2e19a04aabc,034d0dee12ff1d8c5dbdc489acff731bc588caae02cc7239ba88f2e19a04aabci0,cf17bcde88ed057bfbe9f544761d09e3157bd50cb592bf17526d1e6d15173c1c,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
